"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
-2.6746767386496,6.57018660551926,47.4895809104152,1.02181494768597e-11,2.30447326315911e-10,43,2.30447326315911e-10,24952,"CD14 Monocyte",0.984536082474227
1.48990757487797,6.66554403073565,8.98308504773216,0.00280458000900945,0.00886429606816992,44,0.00886429606816992,172050,"CD14 Monocyte",0.73202614379085
1.04104898592933,6.44624595931029,5.10948603061286,0.0240270383448537,0.0526635966333989,45,0.0526635966333989,161016,"CD14 Monocyte",0.197674418604651
1.89861893936736,6.50268578664199,14.7858091142945,0.000129143733039983,0.00064334072769126,46,0.00064334072769126,292671,"Naive-IFN B",0.508982035928144
0.0398325704994186,6.43094379372581,0.0168417074379827,0.896773494868562,0.928137488867396,47,0.928137488867396,121310,"CD14 Monocyte",0.882978723404255
0.639370433005733,6.47260059876526,1.98923864056744,0.158756571043241,0.244312528138675,48,0.244312528138675,429792,"Platelets",0.270833333333333
2.0652433720546,6.54027662546434,17.5253774527923,3.1055209414335e-05,0.000185109567736014,49,0.000185109567736014,362869,"CD4 Naive",0.414414414414414
0.472791812463724,6.33693900341428,1.20806319694159,0.272022316221295,0.375835538216375,50,0.375835538216375,159453,"Intermediate monocytes",0.253521126760563
0.58104978846111,6.4287239381823,1.72761615027694,0.189041326966553,0.281174205818034,51,0.281174205818034,751572,"CD14 Monocyte",0.439024390243902
0.49346563792234,6.34014850231276,1.3407412974265,0.247202057769362,0.348057731878796,52,0.348057731878796,378283,"CD4 Terminal effector",0.240506329113924
-2.07589073945417,6.31653414466921,29.5300168210368,7.04267965177435e-08,9.37412196037666e-07,53,9.37412196037666e-07,704218,"NK CD56dim CD57int",0.383720930232558
0.169741245480922,6.38132765653864,0.162873498058124,0.686617860107129,0.766529678011511,54,0.766529678011511,615646,"CD8 Naive",0.330275229357798
1.20027533284342,6.3468172800794,7.48144711042879,0.00635301932833881,0.0175686003628457,55,0.0175686003628457,120574,"CD14 Monocyte",0.833333333333333
-0.773288010350389,6.38694213179362,3.34149138122941,0.0678752093678291,0.122731370061294,56,0.122731370061294,226981,"Atypical memory B",0.318681318681319
0.875038020448967,6.58903802750026,3.5260624507872,0.0607254195905694,0.112195011346066,57,0.112195011346066,427026,"CD14 Monocyte",0.246268656716418
-2.09171886029854,6.63420664812138,27.9188871779695,1.57813625134225e-07,1.86549391452928e-06,58,1.86549391452928e-06,23339,"CD14 Monocyte",0.819672131147541
-2.57692998812792,6.36403189964321,48.4987486497134,6.26428682853132e-12,1.44674202574139e-10,59,1.44674202574139e-10,374847,"CD4 Temra",0.45360824742268
0.150163892787904,6.42646767784171,0.126809035008819,0.721844930760238,0.794602215616974,60,0.794602215616974,221301,"CD14 Monocyte",0.0987654320987654
0.106569627094604,6.35097361047566,0.0762513839643542,0.782504862888473,0.84266847057351,61,0.84266847057351,173950,"CD14 Monocyte",0.4
1.81332214638438,6.23965463679945,26.575760699845,3.18976442967204e-07,3.30332173667397e-06,62,3.30332173667397e-06,35592,"Intermediate monocytes",0.919191919191919
2.8117874768473,6.54183451611797,30.2224627078542,5.05545162423621e-08,6.95288881019101e-07,63,6.95288881019101e-07,160261,"CD16 Monocyte",0.215384615384615
-0.0898614960138298,6.43623652527711,0.0413850350127971,0.838841240716558,0.885479781070916,64,0.885479781070916,793900,"CD4 Th17",0.409638554216867
0.335489332504338,6.29587073110756,0.68117963804397,0.409393537593377,0.518639122930815,65,0.518639122930815,610968,"NK CD56dim CD57-",0.454545454545455
-0.453643234877657,6.3553990062087,1.17826956400332,0.277991267323504,0.382362024719893,66,0.382362024719893,386267,"CD4 Naive",0.548076923076923
1.29211114789918,6.49513898467546,7.6544093220655,0.00577626337007038,0.0162259040639389,67,0.0162259040639389,341548,"CD4 Naive",0.247787610619469
0.586367131015615,6.34599866089898,1.88727192720944,0.169842645681797,0.257838987362463,68,0.257838987362463,657893,"NK CD56dim CD57-",0.410526315789474
0.548932555376566,6.3077134578872,1.75523972124842,0.185546453472219,0.276919900451873,69,0.276919900451873,76898,"cDC2",0.684782608695652
0.32068373823536,6.36830725342233,0.572866549844206,0.449314738276444,0.557355625467368,70,0.557355625467368,185395,"CD14 Monocyte",0.53030303030303
1.20118146862993,6.48502735280337,6.50880850387771,0.0108940309313083,0.0273560247352313,71,0.0273560247352313,178436,"CD14 Monocyte",0.2
0.537901571749071,6.42033179905221,1.49334359036964,0.222009610659724,0.319618799091763,72,0.319618799091763,39978,"cDC2",0.666666666666667
1.92998656049812,6.48788167523746,15.5555915545894,8.61652225830992e-05,0.000452887950237649,73,0.000452887950237649,624762,"TReg Cytotoxic",0.176470588235294
1.4068231640063,6.65678622329817,8.34812166091644,0.00395099040591316,0.0118034325746332,74,0.0118034325746332,747470,"CD14 Monocyte",0.149350649350649
0.796239571915071,6.3796525079903,3.25600784032605,0.0714872223153914,0.127961615491344,75,0.127961615491344,224823,"CD14 Monocyte",0.123287671232877
1.31116953513863,6.35466765289018,8.61397930849902,0.0034184027806098,0.0104575718897553,76,0.0104575718897553,662335,"NK CD56dim CD57-",0.552631578947368
1.83049842118192,6.49141157170386,11.463970456999,0.000820716207834688,0.00312136164190863,77,0.00312136164190863,385515,"CD4 Terminal effector",0.35625
-1.13308701548616,6.47350404746151,7.33557155816692,0.00689649988516964,0.0187934739755369,78,0.0187934739755369,86585,"CD14 Monocyte",0.990196078431373
0.199343577238294,6.4923644356371,0.208272611600596,0.648231790417226,0.734873020531467,79,0.734873020531467,736667,"ILC1",0.329787234042553
1.21604528055149,6.34619437547187,7.84443106472761,0.00520398956845483,0.014885642082128,80,0.014885642082128,397949,"CD4 Naive",0.47887323943662
0.53102321384338,6.53558726654099,1.38127038509321,0.240187193508195,0.340376512268565,81,0.340376512268565,363482,"TReg Cytotoxic",0.801801801801802
-0.509857571476554,6.51672712988658,1.43771676616488,0.23083539365039,0.330000464515979,82,0.330000464515979,197651,"Naive-IFN B",0.304347826086957
-0.385482856914734,6.3791988297845,0.80756112470525,0.369076063240268,0.477789024176454,83,0.477789024176454,429197,"NK CD56dim CD57-",0.229885057471264
-0.819570325320526,6.53113844731678,3.77598234691157,0.0522963188737533,0.0993463523683637,84,0.0993463523683637,399819,"CD4 Naive",0.694915254237288
1.57724497775874,6.38401035142321,11.1159077422199,0.000911113820691154,0.00341172849341679,85,0.00341172849341679,72105,"CD14 Monocyte",0.930232558139535
0.628635528279138,6.58533035304659,1.87373432366834,0.171380188998511,0.259667961418923,86,0.259667961418923,339766,"ILC1",0.297709923664122
1.3209309236329,6.38924437476749,8.52123131967071,0.00359534985072981,0.0109101356106192,87,0.0109101356106192,199076,"CD14 Monocyte",0.228571428571429
0.74128641770237,6.50987672995736,2.42967273244766,0.119746446921531,0.194628506965306,88,0.194628506965306,538544,"CD4 Naive",0.785
