"Nhood","logFC","logCPM","F","PValue","FDR","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
7141,1.89318126524354,6.61779102176018,14.7415152384516,0.000154315143806229,0.000752570714665583,0.000720271107601486,"440142","CD14 Monocyte",0.226666666666667
7142,-0.198252472363147,6.95629565490768,0.148533225211358,0.700250467271604,0.777041287477333,0.7763662142342,"335020","CD4 Tfh",0.319526627218935
7143,1.15287115897041,6.89690093324664,4.65559031055682,0.0318521310712453,0.0676106721986365,0.0676371689970699,"207161","CD4 Naive",0.279220779220779
7144,0.639605910671682,6.62975336445133,1.85178749024876,0.174732836029366,0.267544838439058,0.268230652884776,"445358","CD14 Monocyte",0.535211267605634
7145,-3.6100799798597,6.67717235295524,72.7050392637784,1.16930318406759e-15,4.48673324758574e-14,3.97744456303637e-14,"51797","CD14 Monocyte",0.950617283950617
7146,-1.95487701943196,6.76632314612496,16.7174504054414,5.75849635269525e-05,0.000319628617892767,0.000302820407936079,"52862","CD14 Monocyte",0.9
7147,-0.297695098495105,6.92402260788619,0.379226037302455,0.538546755232648,0.640305442476124,0.640964351406427,"202276","ILC1",0.314285714285714
7148,0.562601627523842,6.80146298187552,1.19406308394198,0.275504768805146,0.382292782420105,0.383006083286129,"368679","CD4 Th17",0.612676056338028
7149,0.468196017151013,6.71424774077373,0.849348883910878,0.357575593656667,0.468645459036103,0.469042529370494,"256193","CD4 Th17",0.395161290322581
7150,-0.0496211675194453,6.81548224639246,0.00821148545319186,0.927865242792536,0.949188654221451,0.949150275737859,"418465","NK CD56dim CD57+",0.330935251798561
7151,-1.30228904257551,6.84225359720354,6.53969431610042,0.0111260606576616,0.028537304378017,0.0283039949653352,"54626","CD14 Monocyte",0.964285714285714
7152,-0.580347077610452,6.95684348680755,1.32417848013369,0.250881713631463,0.354805478171638,0.355049257338014,"187763","CD14 Monocyte",0.22
7153,2.71868450318961,6.6811116214598,24.3497492685559,1.42200515581977e-06,1.18668464188691e-05,1.10353545917057e-05,"30397","CD14 Monocyte",0.945945945945946
7154,-0.113630370756702,6.71326820650217,0.0443681157759738,0.833336508806348,0.880959627185555,0.880191957083051,"32986","CD14 Monocyte",0.774774774774775
7155,1.38554472311944,6.69951857211109,6.71373057825439,0.010097924492451,0.0263272447274724,0.0260833863877981,"426500","MAIT",0.21875
7156,2.61865093303008,6.88515286039411,18.6979771187911,2.17418368437954e-05,0.000134949210859475,0.000126959827970613,"256863","CD4 Temra",0.958333333333333
7157,-1.71580282130742,6.7160424661031,12.4645781247953,0.000490389174249575,0.00203089324689154,0.00196631864827196,"49597","CD16 Monocyte",0.535353535353535
7158,0.583867351298946,6.7910848542376,1.37958401246923,0.241227323880266,0.343813002177018,0.344180086390324,"250013","CD8 Naive",0.359223300970874
7159,0.459517165180315,6.6648172851848,0.861269243665575,0.354228995234789,0.465133145443641,0.465518761155562,"110413","Naive-IFN B",0.391752577319588
7160,2.39321165492908,6.83749304285973,16.3634445018054,6.86428672348796e-05,0.000372387312126335,0.000353281561330942,"301685","CD4 Th17",0.548192771084337
7161,0.185004220151665,6.61638703702083,0.166641346148533,0.683444096132424,0.763391591116901,0.762779849304499,"439646","CD4 Tfh",0.242424242424242
7162,1.82290409428121,6.63266991984586,12.4157724107668,0.00050134605110241,0.00207118317472551,0.00200616945121274,"141606","cDC2",0.24390243902439
7163,0.110438234571123,6.72824121590722,0.0539829385842057,0.816451661158361,0.868051920827052,0.867346023465472,"351110","CD8 Tem GZMB+",0.274336283185841
7164,0.747228858493991,6.67666921671797,2.09737412278003,0.148735509602694,0.235254955819346,0.235657149800095,"5154","CD14 Monocyte",0.959459459459459
7165,2.53864707571227,6.69304393524482,20.3661258703989,9.6461276179203e-06,6.52329155493866e-05,6.08442504588585e-05,"33277","CD14 Monocyte",0.967213114754098
7166,-1.49864512719728,6.941632114408,10.4495188485591,0.00138226352377885,0.00495042315390314,0.00484525660587615,"426021","NK CD56dim CD57low",0.331081081081081
7167,1.19863183736369,6.85696171153724,5.24571612324099,0.0227873581312844,0.0514700799891403,0.0513605942297502,"112668","CD14 Monocyte",0.468253968253968
7168,0.35512838151661,6.68200904772854,0.519643901096905,0.471629618893504,0.579490220838408,0.580066560362409,"88835","CD14 Monocyte",0.218390804597701
7169,-1.98517182137816,6.78849704849506,17.558105635803,3.80043810205539e-05,0.000221553646937052,0.000209116874295631,"348720","CD8 Naive",0.396825396825397
7170,-3.48600031714107,6.69317352535644,62.2930976499252,7.8619198690075e-14,2.11846718605117e-12,1.86608541038369e-12,"145726","CD14 Monocyte",0.274725274725275
7171,1.40209835673398,6.83861238849914,5.92897346460142,0.0155746905432583,0.0376243412382898,0.037474766251059,"319872","CD4 Tfh",0.308139534883721
7172,-0.392065161642141,6.76856670606235,0.632909526684399,0.4270027267108,0.537303129357254,0.537745931171653,"186776","Naive-IFN B",0.362068965517241
7173,-1.02797122779087,6.6606342862401,5.18595470555424,0.0235680035345049,0.0528956690781603,0.0528153948209419,"459409","ILC1",0.324324324324324
7174,0.875110015894759,6.78429195791953,2.72981323159729,0.0996761724816551,0.17091989159823,0.171032712036813,"294848","cDC2",0.256410256410256
7175,-0.0390149552050823,6.62838092128567,0.00504025008392222,0.943455553902646,0.960117683883184,0.960390039842849,"417686","NK CD56dim CD57int",0.247191011235955
7176,1.12803127428386,6.62179105433547,5.47695533502469,0.020011783915702,0.0462936131084224,0.0462177962507446,"14821","CD14 Monocyte",0.785714285714286
7177,1.06855417136325,6.63630240128011,4.45905171476651,0.0356537643816899,0.0741464903794569,0.0740906805415821,"351308","CD8 Tem GZMB+",0.260869565217391
7178,-2.13418021585522,6.85599712729767,20.227381693509,1.02976113487287e-05,6.923596373963e-05,6.46489929856606e-05,"379474","NK CD56dim CD57low",0.23015873015873
7179,2.43723273165064,6.57180524922149,22.6965947503305,3.13052317948478e-06,2.36598985463877e-05,2.19780162524909e-05,"44931","Intermediate monocytes",0.847457627118644
7180,2.79460128628156,6.68036451631046,28.6864121944709,1.848599211405e-07,2.02323729752838e-06,1.86394214895406e-06,"246328","cDC2",0.181818181818182
7181,0.730939168579227,7.0217793014719,1.87873804193112,0.171638508709493,0.263701555597275,0.264260488185737,"295485","TReg Cytotoxic",0.261538461538462
7182,1.79041868264809,6.53516635513334,14.1790960696469,0.000204801021834101,0.00095647869326923,0.000917676209769942,"255434","CD4 Temra",0.89010989010989
7183,0.662243925425545,6.58054591018364,1.89045085030453,0.170313469261059,0.262169459983796,0.26276366011225,"114995","CD14 Monocyte",0.308823529411765
7184,2.23820865599132,6.79841024412804,15.5836554071826,0.000101218103580705,0.000521041031995604,0.000496784068597325,"401300","NK CD56dim CD57int",0.791666666666667
7185,1.83453509700726,6.69146697752334,12.3427548113198,0.000520423079018308,0.00213825398490325,0.00207164675323164,"437447","ILC1",0.130952380952381
7186,-2.54808877141038,6.7554983370795,29.0819394113445,1.53779473301959e-07,1.71844932532008e-06,1.58138463019518e-06,"51113","CD14 Monocyte",0.831683168316832
7187,-1.00159666583898,6.64854497417354,4.89688131026661,0.0277584442437185,0.060494079858904,0.0604282203790511,"246978","CD8 Naive",0.208333333333333
7188,-0.878669909365931,6.72249926121001,3.29264764743282,0.0707223583750466,0.129513082289358,0.129303275039864,"52436","CD14 Monocyte",0.683168316831683
7189,0.133874817100988,6.71869414398098,0.0708859304200768,0.790264446151322,0.847965242261532,0.847589974722844,"45336","CD14 Monocyte",0.929824561403509
7190,0.461056192558636,6.72615550533604,0.778621209555776,0.378363568149525,0.48917377517657,0.489745259374175,"335485","TReg KLRB1+RORC+",0.260162601626016
7191,0.0849218025768438,6.96305158515762,0.031985868487147,0.858207985226966,0.899618004562632,0.898800910712954,"33446","CD16 Monocyte",0.983516483516483
7192,1.69121627298133,6.74040306903786,10.1329926181413,0.0016303132226882,0.00568490991164748,0.00557201635365428,"401588","NK CD56dim CD57int",0.664233576642336
7193,-0.127021936230712,6.67940781451867,0.0587394291994079,0.808687161653513,0.862020031663943,0.861398225578143,"404585","NK CD56dim CD57int",0.585858585858586
