module,clone_status,pt_mid,median_score_z,ci_low,ci_high,n_participants,n_cells
EOMES_ZEB2,Expanded,0.17149999999999999,-0.09005396872990984,-0.31992262350030815,0.15105195905372532,35,83
EOMES_ZEB2,Expanded,0.262,-0.000531821839702018,-0.1320072181815028,0.21315482200073194,47,104
EOMES_ZEB2,Expanded,0.357,0.07283135882274924,-0.05062843173556257,0.25989984505191355,66,154
EOMES_ZEB2,Expanded,0.453,0.30425857208537005,0.05095778391197975,0.5080650228732227,66,158
EOMES_ZEB2,Expanded,0.5509999999999999,0.17581445399940632,0.06515782805809918,0.32101224621139013,72,201
EOMES_ZEB2,Expanded,0.651,0.3747056785994063,0.25680081220084344,0.5347623241385573,69,198
EOMES_ZEB2,Expanded,0.7495,0.4014055872754738,0.28772751490447396,0.4760907896822052,67,219
EOMES_ZEB2,Expanded,0.8455,0.34658326584178983,0.2929273148493239,0.5441776111804447,75,270
EOMES_ZEB2,Expanded,0.946,0.4681841994922108,0.2983097541948563,0.6992215843586375,75,314
EOMES_ZEB2,Singleton,0.06821,-0.544204351645412,-0.5932614192459359,-0.3937977528880976,153,828
EOMES_ZEB2,Singleton,0.17149999999999999,-0.47301712442544036,-0.5291342551302323,-0.36945458924961044,159,819
EOMES_ZEB2,Singleton,0.262,-0.37526492837761877,-0.4350960886204905,-0.3157332847074532,153,798
EOMES_ZEB2,Singleton,0.357,-0.2877580938635359,-0.37786578066751914,-0.20770216321627752,158,748
EOMES_ZEB2,Singleton,0.453,-0.2664400393616153,-0.34976043151678804,-0.15766895121480873,160,744
EOMES_ZEB2,Singleton,0.5509999999999999,-0.10955066351823173,-0.2018343195356668,-0.006899505322823863,162,701
EOMES_ZEB2,Singleton,0.651,0.05394662665442629,-0.0657994245818447,0.1325037636394089,158,704
EOMES_ZEB2,Singleton,0.7495,0.13588712464339764,0.03964360588266526,0.247795748891735,154,683
EOMES_ZEB2,Singleton,0.8455,0.2565572775806667,0.15778318705264158,0.3735624441720535,145,632
EOMES_ZEB2,Singleton,0.946,0.6015009360797224,0.5011375518592597,0.6778438876437924,129,589
GZMK_inflammatory_memory,Expanded,0.06821,0.1468105950107419,-0.12741356446836402,0.4573226416666778,32,75
GZMK_inflammatory_memory,Expanded,0.17149999999999999,0.287246065097892,0.0672683131147884,0.4060549109801306,35,83
GZMK_inflammatory_memory,Expanded,0.262,0.17605783357635163,-0.06028212268529738,0.5010124524850565,47,104
GZMK_inflammatory_memory,Expanded,0.357,0.18129858355400835,-0.011129896764322167,0.33906045326478773,66,154
GZMK_inflammatory_memory,Expanded,0.453,0.07018161701466273,-0.039003268193194496,0.1656854009853957,66,158
GZMK_inflammatory_memory,Expanded,0.5509999999999999,-0.030653690269667463,-0.22758461780178826,0.19004967224677316,72,201
GZMK_inflammatory_memory,Expanded,0.651,0.13543896976968847,-0.019068679478288,0.24235252313710184,69,198
GZMK_inflammatory_memory,Expanded,0.7495,0.16030069622406068,-0.04615974843020227,0.25222927071376927,67,219
GZMK_inflammatory_memory,Expanded,0.8455,-0.011499541154456672,-0.09015211144719866,0.07271204154520308,75,270
GZMK_inflammatory_memory,Expanded,0.946,-0.04594484040059691,-0.16225608430047667,0.06164019511192622,75,314
GZMK_inflammatory_memory,Singleton,0.06821,-0.05178051751118101,-0.11326839560446182,0.016547178489455854,153,828
GZMK_inflammatory_memory,Singleton,0.17149999999999999,-0.10244877414241464,-0.15880349110593395,0.03612594486957709,159,819
GZMK_inflammatory_memory,Singleton,0.262,-0.029975607603907002,-0.1210235544822715,0.02219985720082365,153,798
GZMK_inflammatory_memory,Singleton,0.357,-0.08195656519371246,-0.13451978956491256,0.03548002352311704,158,748
GZMK_inflammatory_memory,Singleton,0.453,-0.09833655679606496,-0.19453543913440136,-0.04310755484322194,160,744
GZMK_inflammatory_memory,Singleton,0.5509999999999999,-0.05545346726019371,-0.11324499404506724,0.0320240699640981,162,701
GZMK_inflammatory_memory,Singleton,0.651,0.007347870650145757,-0.07500066927245103,0.09535992713947475,158,704
GZMK_inflammatory_memory,Singleton,0.7495,0.006676715298382544,-0.06827777530016328,0.07784098361698023,154,683
