participant,tissue,disease,module,expansion_bin,value,n_cells
C21,R,healthy,Antibody secretion/UPR,≥5,2.0078659632856932,12
C21,R,healthy,IgA mucosal,1,3.5278101122631567,681
C21,R,healthy,IgA mucosal,2,3.4217336730306003,108
C21,R,healthy,IgA mucosal,3–4,3.201665438639843,41
C21,R,healthy,IgA mucosal,≥5,3.1712572019175376,12
C21,R,healthy,IgG inflammatory,1,1.8741625687439842,681
C21,R,healthy,IgG inflammatory,2,1.8264133443428432,108
C21,R,healthy,IgG inflammatory,3–4,1.743035055666306,41
C21,R,healthy,IgG inflammatory,≥5,1.6627068360800026,12
C21,R,healthy,Cycling B,1,0.0,681
C21,R,healthy,Cycling B,2,0.0,108
C21,R,healthy,Cycling B,3–4,0.0,41
C21,R,healthy,Cycling B,≥5,0.0,12
C21,pBMC,healthy,Plasma differentiation,1,0.0,3
C21,pBMC,healthy,Plasma differentiation,3–4,0.0,3
C21,pBMC,healthy,Antibody secretion/UPR,1,0.7544648266321367,3
C21,pBMC,healthy,Antibody secretion/UPR,3–4,0.4051429010063811,3
C21,pBMC,healthy,IgA mucosal,1,0.0,3
C21,pBMC,healthy,IgA mucosal,3–4,0.0,3
C21,pBMC,healthy,IgG inflammatory,1,0.0,3
C21,pBMC,healthy,IgG inflammatory,3–4,0.5486076060207234,3
C21,pBMC,healthy,Cycling B,1,0.0,3
C21,pBMC,healthy,Cycling B,3–4,0.0,3
C30,I,healthy,Plasma differentiation,1,2.3772260514015082,246
C30,I,healthy,Plasma differentiation,2,2.825544295651003,16
C30,I,healthy,Plasma differentiation,3–4,1.0189423236779915,3
C30,I,healthy,Antibody secretion/UPR,1,2.0924661046049944,246
C30,I,healthy,Antibody secretion/UPR,2,2.484159924762971,16
C30,I,healthy,Antibody secretion/UPR,3–4,1.2643533992042795,3
C30,I,healthy,IgA mucosal,1,2.7506362489758995,246
C30,I,healthy,IgA mucosal,2,3.216654778498728,16
C30,I,healthy,IgA mucosal,3–4,1.5280151262819714,3
C30,I,healthy,IgG inflammatory,1,1.6573794454768263,246
C30,I,healthy,IgG inflammatory,2,1.92404042771772,16
C30,I,healthy,IgG inflammatory,3–4,1.29683568468108,3
C30,I,healthy,Cycling B,1,0.0,246
C30,I,healthy,Cycling B,2,0.0,16
C30,I,healthy,Cycling B,3–4,0.0,3
C30,R,healthy,Plasma differentiation,1,2.5911652194668866,724
C30,R,healthy,Plasma differentiation,2,2.53101262802077,172
C30,R,healthy,Plasma differentiation,3–4,2.5805865238038996,113
C30,R,healthy,Plasma differentiation,≥5,2.5029421547652455,26
C30,R,healthy,Antibody secretion/UPR,1,2.0162952075825924,724
C30,R,healthy,Antibody secretion/UPR,2,1.9417010767066378,172
C30,R,healthy,Antibody secretion/UPR,3–4,2.0812068901315004,113
C30,R,healthy,Antibody secretion/UPR,≥5,2.0198157993932675,26
C30,R,healthy,IgA mucosal,1,3.218397410225956,724
C30,R,healthy,IgA mucosal,2,3.1467616098223283,172
C30,R,healthy,IgA mucosal,3–4,3.2785765023894706,113
C30,R,healthy,IgA mucosal,≥5,3.162800028264824,26
C30,R,healthy,IgG inflammatory,1,1.6994365985748368,724
C30,R,healthy,IgG inflammatory,2,1.6513757884735987,172
C30,R,healthy,IgG inflammatory,3–4,1.6399447955289872,113
C30,R,healthy,IgG inflammatory,≥5,1.6457060992816277,26
C30,R,healthy,Cycling B,1,0.0,724
C30,R,healthy,Cycling B,2,0.0,172
C30,R,healthy,Cycling B,3–4,0.0,113
C30,R,healthy,Cycling B,≥5,0.0,26
C30,pBMC,healthy,Plasma differentiation,1,0.6458285637460144,59
C30,pBMC,healthy,Plasma differentiation,2,1.1406725282646322,4
C30,pBMC,healthy,Plasma differentiation,3–4,0.17695483602167245,6
C30,pBMC,healthy,Antibody secretion/UPR,1,1.2661114328366574,59
C30,pBMC,healthy,Antibody secretion/UPR,2,0.9627856164849415,4
C30,pBMC,healthy,Antibody secretion/UPR,3–4,0.5079217224197576,6
C30,pBMC,healthy,IgA mucosal,1,0.4520799946222101,59
C30,pBMC,healthy,IgA mucosal,2,0.5955978417238212,4
C30,pBMC,healthy,IgA mucosal,3–4,0.0,6
C30,pBMC,healthy,IgG inflammatory,1,0.8384862588509576,59
C30,pBMC,healthy,IgG inflammatory,2,1.2537461391710423,4
C30,pBMC,healthy,IgG inflammatory,3–4,0.5023752654627406,6
C30,pBMC,healthy,Cycling B,1,0.5310003137299176,59
C30,pBMC,healthy,Cycling B,2,0.0,4
C30,pBMC,healthy,Cycling B,3–4,0.0,6
C33,I,healthy,Plasma differentiation,1,1.5535861623335219,150
C33,I,healthy,Plasma differentiation,2,2.1312001798694524,6
C33,I,healthy,Antibody secretion/UPR,1,2.2333668434563085,150
C33,I,healthy,Antibody secretion/UPR,2,2.222708629059171,6
C33,I,healthy,IgA mucosal,1,1.9686326861920045,150
C33,I,healthy,IgA mucosal,2,1.9114768698392428,6
C33,I,healthy,IgG inflammatory,1,1.5435837406340962,150
C33,I,healthy,IgG inflammatory,2,1.9980345984836507,6
C33,I,healthy,Cycling B,1,0.2062841403749449,150
C33,I,healthy,Cycling B,2,0.24913376393264813,6
C33,pBMC,healthy,Plasma differentiation,1,0.6353166643574605,444
