outcome,module,model,estimate_per_program_SD,SE,ci_low,ci_high,p_value,n_lineages,n_participants,outcome_scale,FDR
SHM/germline distance,cell_cycle_proliferating_B_cell,Control_stratified,0.0178929629682074,0.01279662144469606,-0.007188415063396878,0.04297434099981168,0.16203596515614394,3705,24,outcome SD,0.2528164283803485
SHM/germline distance,cell_cycle_proliferating_B_cell,IBD_stratified,0.0024325915735511298,0.006387242451951406,-0.010086403632273627,0.014951586779375886,0.7033133605301596,21708,158,outcome SD,0.7710838864818335
Diversified-lineage branch length,IgA_mucosal_plasma_cell,participant_fixed_effect,0.013875096571912299,0.0413260668003234,-0.06712399435672156,0.09487418750054616,0.7370617765452843,725,105,outcome SD,0.7794883761490332
Diversified-lineage branch length,IgA_mucosal_plasma_cell,plus_pseudotime,0.019049496068333664,0.04257850764941067,-0.06440437892451126,0.10250337106117857,0.6545884502964618,725,105,outcome SD,0.7275148540779802
Diversified-lineage branch length,IgA_mucosal_plasma_cell,IBD_stratified,0.015812055236298785,0.04385570619576689,-0.07014512890740432,0.10176923938000187,0.7184379121895179,689,93,outcome SD,0.7710838864818335
Diversified-lineage branch length,plasmablast_plasma_cell_differentiation,participant_fixed_effect,-0.029183459216038064,0.05103567691953668,-0.12921338597832996,0.07084646754625382,0.5674407608431389,725,105,outcome SD,0.7018834144385131
Diversified-lineage branch length,plasmablast_plasma_cell_differentiation,plus_pseudotime,-0.02145259851560218,0.05399465378172144,-0.12728211992777622,0.08437692289657185,0.6911391113740812,725,105,outcome SD,0.7275148540779802
Diversified-lineage branch length,plasmablast_plasma_cell_differentiation,IBD_stratified,-0.021553216061703587,0.05483398907480139,-0.1290278346483143,0.08592140252490713,0.6942728995854228,689,93,outcome SD,0.7710838864818335
Diversified-lineage branch length,antibody_secretion_UPR,participant_fixed_effect,-0.06781273384296777,0.043264256140573575,-0.15261067587849197,0.016985208192556445,0.11701939488078539,725,105,outcome SD,0.29254848720196347
Diversified-lineage branch length,antibody_secretion_UPR,plus_pseudotime,-0.06039056073903506,0.04574211167615341,-0.15004509962429574,0.029263978146225632,0.1867549357794298,725,105,outcome SD,0.3735098715588596
Diversified-lineage branch length,antibody_secretion_UPR,IBD_stratified,-0.0450024330396966,0.043930399610550175,-0.13110601627637494,0.04110115019698174,0.3056449667779334,689,93,outcome SD,0.5557181214144243
Diversified-lineage branch length,IgG_inflammatory_plasma_cell,participant_fixed_effect,0.01253855455571784,0.041151153951902913,-0.06811770719001187,0.09319481630144755,0.7605983895474104,725,105,outcome SD,0.7794883761490332
Diversified-lineage branch length,IgG_inflammatory_plasma_cell,plus_pseudotime,0.018801140440254698,0.04264478160056,-0.0647826314968429,0.1023849123773523,0.6593014161365417,725,105,outcome SD,0.7275148540779802
Diversified-lineage branch length,IgG_inflammatory_plasma_cell,IBD_stratified,0.015108539055114317,0.044207724796557296,-0.07153860154613798,0.10175567965636662,0.7325296921577418,689,93,outcome SD,0.7710838864818335
Diversified-lineage branch length,cell_cycle_proliferating_B_cell,participant_fixed_effect,-0.02713647215016426,0.033144006824679086,-0.09209872552653527,0.03782578122620674,0.41293222155257636,725,105,outcome SD,0.5899031736465377
Diversified-lineage branch length,cell_cycle_proliferating_B_cell,plus_pseudotime,-0.02448277622026333,0.03298689366313656,-0.08913708780001099,0.040171535359484326,0.45796793629750654,725,105,outcome SD,0.6834780724020538
