roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
0.9583333333333333,0.8869047619047619,0.9032258064516129,0.07072082560548545,0.9166666666666666,0.8571428571428571,pbmc,cd_vs_control,14,31,"{""clf__C"": 10, ""select__k"": 25}"
0.8690476190476191,0.8244047619047619,0.8064516129032258,0.14197043236960805,0.7916666666666666,0.8571428571428571,pbmc,cd_vs_control,15,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.865079365079365,0.7301587301587301,0.8,0.1324065850806903,0.8888888888888888,0.5714285714285714,pbmc,uc_vs_control,1,25,"{""clf__C"": 10, ""select__k"": ""all""}"
0.976190476190476,0.9007936507936507,0.92,0.07780240215511103,0.9444444444444444,0.8571428571428571,pbmc,uc_vs_control,2,25,"{""clf__C"": 10, ""select__k"": 25}"
1.0,1.0,1.0,0.019588809989167073,1.0,1.0,pbmc,uc_vs_control,3,24,"{""clf__C"": 10, ""select__k"": 25}"
0.8235294117647058,0.76890756302521,0.7916666666666666,0.161187783329372,0.8235294117647058,0.7142857142857143,pbmc,uc_vs_control,4,24,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9831932773109244,0.9705882352941176,0.9583333333333334,0.040007255375586775,0.9411764705882353,1.0,pbmc,uc_vs_control,5,24,"{""clf__C"": 10, ""select__k"": ""all""}"
0.8015873015873016,0.8015873015873016,0.84,0.11990171102238521,0.8888888888888888,0.7142857142857143,pbmc,uc_vs_control,6,25,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9682539682539684,0.9285714285714286,0.96,0.0499104479775238,1.0,0.8571428571428571,pbmc,uc_vs_control,7,25,"{""clf__C"": 1, ""select__k"": 25}"
0.9495798319327731,0.8403361344537814,0.8333333333333334,0.09212461647634697,0.8235294117647058,0.8571428571428571,pbmc,uc_vs_control,8,24,"{""clf__C"": 1, ""select__k"": 25}"
0.9915966386554622,0.8991596638655461,0.9166666666666666,0.05412260058976759,0.9411764705882353,0.8571428571428571,pbmc,uc_vs_control,9,24,"{""clf__C"": 10, ""select__k"": 25}"
0.8571428571428572,0.9285714285714286,0.9583333333333334,0.05691890099917014,1.0,0.8571428571428571,pbmc,uc_vs_control,10,24,"{""clf__C"": 1, ""select__k"": ""all""}"
0.9206349206349206,0.8015873015873016,0.84,0.10725929895733963,0.8888888888888888,0.7142857142857143,pbmc,uc_vs_control,11,25,"{""clf__C"": 1, ""select__k"": 25}"
0.8333333333333333,0.873015873015873,0.88,0.1122661136261771,0.8888888888888888,0.8571428571428571,pbmc,uc_vs_control,12,25,"{""clf__C"": 1, ""select__k"": ""all""}"
1.0,0.9705882352941176,0.9583333333333334,0.03233204830478417,0.9411764705882353,1.0,pbmc,uc_vs_control,13,24,"{""clf__C"": 1, ""select__k"": 25}"
0.9831932773109244,0.8991596638655461,0.9166666666666666,0.06460179957677532,0.9411764705882353,0.8571428571428571,pbmc,uc_vs_control,14,24,"{""clf__C"": 10, ""select__k"": 25}"
0.9831932773109244,0.8277310924369747,0.875,0.07327534536324735,0.9411764705882353,0.7142857142857143,pbmc,uc_vs_control,15,24,"{""clf__C"": 10, ""select__k"": 25}"
0.8356481481481481,0.6736111111111112,0.6904761904761905,0.1681313178606889,0.7916666666666666,0.5555555555555556,pbmc,cd_vs_uc,1,42,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.8148148148148148,0.6875,0.6666666666666666,0.20642332365716606,0.5416666666666666,0.8333333333333334,pbmc,cd_vs_uc,2,42,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8308823529411765,0.7745098039215685,0.7560975609756098,0.17967888679439656,0.6666666666666666,0.8823529411764706,pbmc,cd_vs_uc,3,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8504901960784313,0.6899509803921569,0.7073170731707317,0.16256943774851987,0.7916666666666666,0.5882352941176471,pbmc,cd_vs_uc,4,41,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.8235294117647058,0.6776960784313726,0.6829268292682927,0.1705927251356245,0.7083333333333334,0.6470588235294118,pbmc,cd_vs_uc,5,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.7939814814814814,0.7152777777777778,0.7142857142857143,0.18252337718150544,0.7083333333333334,0.7222222222222222,pbmc,cd_vs_uc,6,42,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.75,0.6666666666666666,0.6666666666666666,0.1932999324724699,0.6666666666666666,0.6666666666666666,pbmc,cd_vs_uc,7,42,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.8725490196078431,0.7365196078431373,0.7317073170731707,0.14828348739368633,0.7083333333333334,0.7647058823529411,pbmc,cd_vs_uc,8,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8284313725490197,0.6862745098039216,0.6829268292682927,0.1810880824574153,0.6666666666666666,0.7058823529411765,pbmc,cd_vs_uc,9,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8725490196078431,0.7781862745098038,0.7804878048780488,0.1519839107729621,0.7916666666666666,0.7647058823529411,pbmc,cd_vs_uc,10,41,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.8333333333333334,0.7361111111111112,0.7380952380952381,0.16259620902764021,0.75,0.7222222222222222,pbmc,cd_vs_uc,11,42,"{""clf__C"": 0.1, ""select__k"": ""all""}"
0.7407407407407408,0.6388888888888888,0.6428571428571429,0.22665326126638485,0.6666666666666666,0.6111111111111112,pbmc,cd_vs_uc,12,42,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8848039215686274,0.7990196078431373,0.8048780487804879,0.14154083869307274,0.8333333333333334,0.7647058823529411,pbmc,cd_vs_uc,13,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.8161764705882353,0.7450980392156863,0.7317073170731707,0.18126874064929688,0.6666666666666666,0.8235294117647058,pbmc,cd_vs_uc,14,41,"{""clf__C"": 1, ""select__k"": ""all""}"
0.872549019607843,0.8075980392156863,0.8048780487804879,0.15136413581923133,0.7916666666666666,0.8235294117647058,pbmc,cd_vs_uc,15,41,"{""clf__C"": 0.1, ""select__k"": ""all""}"
1.0,0.5,0.8260869565217391,0.14633393050066812,1.0,0.0,tcr,cd_vs_control,1,23,"{""clf__C"": 1, ""select__percentile"": 25}"
0.8111111111111111,0.5,0.782608695652174,0.20479719454316,1.0,0.0,tcr,cd_vs_control,2,23,"{""clf__C"": 1, ""select__percentile"": 100}"
0.9888888888888889,0.5,0.782608695652174,0.21200054638746166,1.0,0.0,tcr,cd_vs_control,3,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
1.0,0.5,0.782608695652174,0.18979148290739564,1.0,0.0,tcr,cd_vs_control,4,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.9888888888888889,0.5,0.782608695652174,0.19524127936889704,1.0,0.0,tcr,cd_vs_control,5,23,"{""clf__C"": 10, ""select__percentile"": 100}"
1.0,0.5,0.8260869565217391,0.16386986348235905,1.0,0.0,tcr,cd_vs_control,6,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.9555555555555555,0.5,0.782608695652174,0.2009969889080039,1.0,0.0,tcr,cd_vs_control,7,23,"{""clf__C"": 1, ""select__percentile"": 25}"
